Matchday,Date,Home Team,Away Team,Home Score,Away Score
1,2024-08-23T18:30:00Z,Borussia Mönchengladbach,Bayer 04 Leverkusen,2.0,3.0
1,2024-08-24T13:30:00Z,RB Leipzig,VfL Bochum 1848,1.0,0.0
1,2024-08-24T13:30:00Z,TSG 1899 Hoffenheim,Holstein Kiel,3.0,2.0
1,2024-08-24T13:30:00Z,SC Freiburg,VfB Stuttgart,3.0,1.0
1,2024-08-24T13:30:00Z,FC Augsburg,SV Werder Bremen,2.0,2.0
1,2024-08-24T13:30:00Z,1. FSV Mainz 05,1. FC Union Berlin,1.0,1.0
1,2024-08-24T16:30:00Z,Borussia Dortmund,Eintracht Frankfurt,2.0,0.0
1,2024-08-25T13:30:00Z,VfL Wolfsburg,FC Bayern München,2.0,3.0
1,2024-08-25T15:30:00Z,FC St. Pauli 1910,1. FC Heidenheim 1846,0.0,2.0
2,2024-08-30T18:30:00Z,1. FC Union Berlin,FC St. Pauli 1910,1.0,0.0
2,2024-08-31T13:30:00Z,VfB Stuttgart,1. FSV Mainz 05,3.0,3.0
2,2024-08-31T13:30:00Z,Eintracht Frankfurt,TSG 1899 Hoffenheim,3.0,1.0
2,2024-08-31T13:30:00Z,SV Werder Bremen,Borussia Dortmund,0.0,0.0
2,2024-08-31T13:30:00Z,VfL Bochum 1848,Borussia Mönchengladbach,0.0,2.0
2,2024-08-31T13:30:00Z,Holstein Kiel,VfL Wolfsburg,0.0,2.0
2,2024-08-31T16:30:00Z,Bayer 04 Leverkusen,RB Leipzig,2.0,3.0
2,2024-09-01T13:30:00Z,1. FC Heidenheim 1846,FC Augsburg,4.0,0.0
2,2024-09-01T15:30:00Z,FC Bayern München,SC Freiburg,2.0,0.0
3,2024-09-13T18:30:00Z,Borussia Dortmund,1. FC Heidenheim 1846,4.0,2.0
3,2024-09-14T13:30:00Z,RB Leipzig,1. FC Union Berlin,0.0,0.0
3,2024-09-14T13:30:00Z,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,1.0,4.0
3,2024-09-14T13:30:00Z,SC Freiburg,VfL Bochum 1848,2.0,1.0
3,2024-09-14T13:30:00Z,VfL Wolfsburg,Eintracht Frankfurt,1.0,2.0
3,2024-09-14T13:30:00Z,Borussia Mönchengladbach,VfB Stuttgart,1.0,3.0
3,2024-09-14T16:30:00Z,Holstein Kiel,FC Bayern München,1.0,6.0
3,2024-09-15T13:30:00Z,FC Augsburg,FC St. Pauli 1910,3.0,1.0
3,2024-09-15T15:30:00Z,1. FSV Mainz 05,SV Werder Bremen,1.0,2.0
4,2024-09-20T18:30:00Z,FC Augsburg,1. FSV Mainz 05,2.0,3.0
4,2024-09-21T13:30:00Z,1. FC Heidenheim 1846,SC Freiburg,0.0,3.0
4,2024-09-21T13:30:00Z,SV Werder Bremen,FC Bayern München,0.0,5.0
4,2024-09-21T13:30:00Z,1. FC Union Berlin,TSG 1899 Hoffenheim,2.0,1.0
4,2024-09-21T13:30:00Z,VfL Bochum 1848,Holstein Kiel,2.0,2.0
4,2024-09-21T16:30:00Z,Eintracht Frankfurt,Borussia Mönchengladbach,2.0,0.0
4,2024-09-22T13:30:00Z,Bayer 04 Leverkusen,VfL Wolfsburg,4.0,3.0
4,2024-09-22T15:30:00Z,VfB Stuttgart,Borussia Dortmund,5.0,1.0
4,2024-09-22T17:30:00Z,FC St. Pauli 1910,RB Leipzig,0.0,0.0
5,2024-09-27T18:30:00Z,Borussia Dortmund,VfL Bochum 1848,4.0,2.0
5,2024-09-28T13:30:00Z,RB Leipzig,FC Augsburg,4.0,0.0
5,2024-09-28T13:30:00Z,SC Freiburg,FC St. Pauli 1910,0.0,3.0
5,2024-09-28T13:30:00Z,VfL Wolfsburg,VfB Stuttgart,2.0,2.0
5,2024-09-28T13:30:00Z,1. FSV Mainz 05,1. FC Heidenheim 1846,0.0,2.0
5,2024-09-28T13:30:00Z,Borussia Mönchengladbach,1. FC Union Berlin,1.0,0.0
5,2024-09-28T16:30:00Z,FC Bayern München,Bayer 04 Leverkusen,1.0,1.0
5,2024-09-29T13:30:00Z,Holstein Kiel,Eintracht Frankfurt,2.0,4.0
5,2024-09-29T15:30:00Z,TSG 1899 Hoffenheim,SV Werder Bremen,3.0,4.0
6,2024-10-04T18:30:00Z,FC Augsburg,Borussia Mönchengladbach,2.0,1.0
6,2024-10-05T13:30:00Z,Bayer 04 Leverkusen,Holstein Kiel,2.0,2.0
6,2024-10-05T13:30:00Z,SV Werder Bremen,SC Freiburg,0.0,1.0
6,2024-10-05T13:30:00Z,1. FC Union Berlin,Borussia Dortmund,2.0,1.0
6,2024-10-05T13:30:00Z,VfL Bochum 1848,VfL Wolfsburg,1.0,3.0
6,2024-10-05T16:30:00Z,FC St. Pauli 1910,1. FSV Mainz 05,0.0,3.0
6,2024-10-06T13:30:00Z,1. FC Heidenheim 1846,RB Leipzig,0.0,1.0
6,2024-10-06T15:30:00Z,Eintracht Frankfurt,FC Bayern München,3.0,3.0
6,2024-10-06T17:30:00Z,VfB Stuttgart,TSG 1899 Hoffenheim,1.0,1.0
7,2024-10-18T18:30:00Z,Borussia Dortmund,FC St. Pauli 1910,2.0,1.0
7,2024-10-19T13:30:00Z,Bayer 04 Leverkusen,Eintracht Frankfurt,2.0,1.0
7,2024-10-19T13:30:00Z,TSG 1899 Hoffenheim,VfL Bochum 1848,3.0,1.0
