Matchday,Date,Home Team,Away Team,Home Score,Away Score
1,2024-09-17T16:45:00Z,BSC Young Boys,Aston Villa FC,0.0,3.0
1,2024-09-17T16:45:00Z,Juventus FC,PSV,3.0,1.0
1,2024-09-17T19:00:00Z,Sporting Clube de Portugal,Lille OSC,2.0,0.0
1,2024-09-17T19:00:00Z,FC Bayern München,GNK Dinamo Zagreb,9.0,2.0
1,2024-09-17T19:00:00Z,Real Madrid CF,VfB Stuttgart,3.0,1.0
1,2024-09-17T19:00:00Z,AC Milan,Liverpool FC,1.0,3.0
1,2024-09-18T16:45:00Z,Bologna FC 1909,FK Shakhtar Donetsk,0.0,0.0
1,2024-09-18T16:45:00Z,AC Sparta Praha,FC Red Bull Salzburg,3.0,0.0
1,2024-09-18T19:00:00Z,Manchester City FC,FC Internazionale Milano,0.0,0.0
1,2024-09-18T19:00:00Z,Paris Saint-Germain FC,Girona FC,1.0,0.0
1,2024-09-18T19:00:00Z,Club Brugge KV,Borussia Dortmund,0.0,3.0
1,2024-09-18T19:00:00Z,Celtic FC,ŠK Slovan Bratislava,5.0,1.0
1,2024-09-19T16:45:00Z,Feyenoord Rotterdam,Bayer 04 Leverkusen,0.0,4.0
1,2024-09-19T16:45:00Z,FK Crvena Zvezda,Sport Lisboa e Benfica,1.0,2.0
1,2024-09-19T19:00:00Z,AS Monaco FC,FC Barcelona,2.0,1.0
1,2024-09-19T19:00:00Z,Stade Brestois 29,SK Sturm Graz,2.0,1.0
1,2024-09-19T19:00:00Z,Atalanta BC,Arsenal FC,0.0,0.0
1,2024-09-19T19:00:00Z,Club Atlético de Madrid,RB Leipzig,2.0,1.0
2,2024-10-01T16:45:00Z,VfB Stuttgart,AC Sparta Praha,1.0,1.0
2,2024-10-01T16:45:00Z,FC Red Bull Salzburg,Stade Brestois 29,0.0,4.0
2,2024-10-01T19:00:00Z,ŠK Slovan Bratislava,Manchester City FC,0.0,4.0
2,2024-10-01T19:00:00Z,Borussia Dortmund,Celtic FC,7.0,1.0
2,2024-10-01T19:00:00Z,FC Barcelona,BSC Young Boys,5.0,0.0
2,2024-10-01T19:00:00Z,FC Internazionale Milano,FK Crvena Zvezda,4.0,0.0
2,2024-10-01T19:00:00Z,Bayer 04 Leverkusen,AC Milan,1.0,0.0
2,2024-10-01T19:00:00Z,Arsenal FC,Paris Saint-Germain FC,2.0,0.0
2,2024-10-01T19:00:00Z,PSV,Sporting Clube de Portugal,1.0,1.0
2,2024-10-02T16:45:00Z,Girona FC,Feyenoord Rotterdam,2.0,3.0
2,2024-10-02T16:45:00Z,FK Shakhtar Donetsk,Atalanta BC,0.0,3.0
2,2024-10-02T19:00:00Z,Aston Villa FC,FC Bayern München,1.0,0.0
2,2024-10-02T19:00:00Z,SK Sturm Graz,Club Brugge KV,0.0,1.0
2,2024-10-02T19:00:00Z,Liverpool FC,Bologna FC 1909,2.0,0.0
2,2024-10-02T19:00:00Z,RB Leipzig,Juventus FC,2.0,3.0
2,2024-10-02T19:00:00Z,Sport Lisboa e Benfica,Club Atlético de Madrid,4.0,0.0
2,2024-10-02T19:00:00Z,GNK Dinamo Zagreb,AS Monaco FC,2.0,2.0
2,2024-10-02T19:00:00Z,Lille OSC,Real Madrid CF,1.0,0.0
3,2024-10-22T16:45:00Z,AS Monaco FC,FK Crvena Zvezda,5.0,1.0
3,2024-10-22T16:45:00Z,AC Milan,Club Brugge KV,3.0,1.0
3,2024-10-22T19:00:00Z,Aston Villa FC,Bologna FC 1909,2.0,0.0
