Matchday,Date,Home Team,Away Team,Home Score,Away Score
1,2024-08-09T18:00:00Z,FC Groningen,NAC Breda,4.0,1.0
1,2024-08-10T14:30:00Z,Feyenoord Rotterdam,Willem II Tilburg,1.0,1.0
1,2024-08-10T16:45:00Z,NEC,FC Twente '65,1.0,2.0
1,2024-08-10T18:00:00Z,Almere City FC,AZ,0.0,1.0
1,2024-08-10T19:00:00Z,PSV,RKC Waalwijk,5.0,1.0
1,2024-08-11T10:15:00Z,Sparta Rotterdam,Heracles Almelo,0.0,0.0
1,2024-08-11T12:30:00Z,FC Utrecht,PEC Zwolle,1.0,0.0
1,2024-08-11T12:30:00Z,Go Ahead Eagles,Fortuna Sittard,0.0,2.0
1,2024-08-11T14:45:00Z,AFC Ajax,SC Heerenveen,1.0,0.0
2,2024-08-16T18:00:00Z,Fortuna Sittard,Almere City FC,3.0,0.0
2,2024-08-17T14:30:00Z,SC Heerenveen,FC Utrecht,1.0,1.0
2,2024-08-17T16:45:00Z,FC Twente '65,Sparta Rotterdam,1.0,1.0
2,2024-08-17T18:00:00Z,AZ,NEC,1.0,0.0
2,2024-08-17T19:00:00Z,RKC Waalwijk,FC Groningen,1.0,2.0
2,2024-08-18T10:15:00Z,Heracles Almelo,PSV,1.0,3.0
2,2024-08-18T12:30:00Z,PEC Zwolle,Feyenoord Rotterdam,1.0,5.0
2,2024-08-18T12:30:00Z,Willem II Tilburg,Go Ahead Eagles,2.0,0.0
2,2024-08-18T14:45:00Z,NAC Breda,AFC Ajax,2.0,1.0
3,2024-08-24T16:45:00Z,NEC,PEC Zwolle,1.0,0.0
3,2024-08-24T18:00:00Z,Almere City FC,PSV,1.0,7.0
3,2024-08-24T19:00:00Z,NAC Breda,FC Utrecht,1.0,2.0
3,2024-08-25T10:15:00Z,FC Groningen,AZ,0.0,0.0
3,2024-08-25T12:30:00Z,Heracles Almelo,Willem II Tilburg,1.0,1.0
3,2024-08-25T12:30:00Z,Sparta Rotterdam,Feyenoord Rotterdam,1.0,1.0
3,2024-08-25T14:45:00Z,Go Ahead Eagles,RKC Waalwijk,2.0,0.0
4,2024-08-30T18:00:00Z,RKC Waalwijk,AZ,0.0,3.0
4,2024-08-31T14:30:00Z,Almere City FC,FC Groningen,1.0,1.0
4,2024-08-31T16:45:00Z,Fortuna Sittard,NEC,0.0,3.0
4,2024-08-31T18:00:00Z,SC Heerenveen,NAC Breda,4.0,0.0
4,2024-08-31T19:00:00Z,Willem II Tilburg,Sparta Rotterdam,1.0,2.0
4,2024-09-01T10:15:00Z,FC Utrecht,FC Twente '65,2.0,1.0
4,2024-09-01T12:30:00Z,PEC Zwolle,Heracles Almelo,3.0,0.0
4,2024-09-01T14:45:00Z,PSV,Go Ahead Eagles,3.0,0.0
5,2024-09-14T14:30:00Z,FC Twente '65,PEC Zwolle,1.0,1.0
5,2024-09-14T14:30:00Z,PSV,NEC,2.0,0.0
5,2024-09-14T16:45:00Z,FC Groningen,Feyenoord Rotterdam,2.0,2.0
5,2024-09-14T18:00:00Z,NAC Breda,Fortuna Sittard,1.0,0.0
5,2024-09-14T19:00:00Z,AZ,SC Heerenveen,9.0,1.0
5,2024-09-15T10:15:00Z,Sparta Rotterdam,Go Ahead Eagles,1.0,2.0
5,2024-09-15T12:30:00Z,Willem II Tilburg,RKC Waalwijk,3.0,0.0
