Matchday,Date,Home Team,Away Team,Home Score,Away Score
1,2024-08-16T18:45:00Z,Le Havre AC,Paris Saint-Germain FC,1.0,4.0
1,2024-08-17T15:00:00Z,Stade Brestois 29,Olympique de Marseille,1.0,5.0
1,2024-08-17T17:00:00Z,Stade de Reims,Lille OSC,0.0,2.0
1,2024-08-17T19:00:00Z,AS Monaco FC,AS Saint-Étienne,1.0,0.0
1,2024-08-18T13:00:00Z,AJ Auxerre,OGC Nice,2.0,1.0
1,2024-08-18T15:00:00Z,Montpellier HSC,RC Strasbourg Alsace,1.0,1.0
1,2024-08-18T15:00:00Z,Toulouse FC,FC Nantes,0.0,0.0
1,2024-08-18T15:00:00Z,Angers SCO,Racing Club de Lens,0.0,1.0
1,2024-08-18T18:45:00Z,Stade Rennais FC 1901,Olympique Lyonnais,3.0,0.0
2,2024-08-23T18:45:00Z,Paris Saint-Germain FC,Montpellier HSC,6.0,0.0
2,2024-08-24T15:00:00Z,Olympique Lyonnais,AS Monaco FC,0.0,2.0
2,2024-08-24T17:00:00Z,Lille OSC,Angers SCO,2.0,0.0
2,2024-08-24T19:00:00Z,AS Saint-Étienne,Le Havre AC,0.0,2.0
2,2024-08-25T13:00:00Z,Racing Club de Lens,Stade Brestois 29,2.0,0.0
2,2024-08-25T15:00:00Z,RC Strasbourg Alsace,Stade Rennais FC 1901,3.0,1.0
2,2024-08-25T15:00:00Z,FC Nantes,AJ Auxerre,2.0,0.0
2,2024-08-25T15:00:00Z,OGC Nice,Toulouse FC,1.0,1.0
2,2024-08-25T18:45:00Z,Olympique de Marseille,Stade de Reims,2.0,2.0
3,2024-08-30T18:45:00Z,Olympique Lyonnais,RC Strasbourg Alsace,4.0,3.0
3,2024-08-31T15:00:00Z,Stade Brestois 29,AS Saint-Étienne,4.0,0.0
3,2024-08-31T17:00:00Z,Montpellier HSC,FC Nantes,1.0,3.0
3,2024-08-31T19:00:00Z,Toulouse FC,Olympique de Marseille,1.0,3.0
3,2024-09-01T13:00:00Z,AS Monaco FC,Racing Club de Lens,1.0,1.0
3,2024-09-01T15:00:00Z,Angers SCO,OGC Nice,1.0,4.0
3,2024-09-01T15:00:00Z,Le Havre AC,AJ Auxerre,3.0,1.0
3,2024-09-01T15:00:00Z,Stade de Reims,Stade Rennais FC 1901,2.0,1.0
3,2024-09-01T18:45:00Z,Lille OSC,Paris Saint-Germain FC,1.0,3.0
4,2024-09-13T18:45:00Z,AS Saint-Étienne,Lille OSC,1.0,0.0
4,2024-09-14T15:00:00Z,Olympique de Marseille,OGC Nice,2.0,0.0
4,2024-09-14T17:00:00Z,AJ Auxerre,AS Monaco FC,0.0,3.0
4,2024-09-14T19:00:00Z,Paris Saint-Germain FC,Stade Brestois 29,3.0,1.0
4,2024-09-15T13:00:00Z,Stade Rennais FC 1901,Montpellier HSC,3.0,0.0
4,2024-09-15T15:00:00Z,FC Nantes,Stade de Reims,1.0,2.0
4,2024-09-15T15:00:00Z,Toulouse FC,Le Havre AC,2.0,0.0
4,2024-09-15T15:00:00Z,RC Strasbourg Alsace,Angers SCO,1.0,1.0
4,2024-09-15T18:45:00Z,Racing Club de Lens,Olympique Lyonnais,0.0,0.0
5,2024-09-20T18:45:00Z,OGC Nice,AS Saint-Étienne,8.0,0.0
5,2024-09-21T15:00:00Z,Lille OSC,RC Strasbourg Alsace,3.0,3.0
5,2024-09-21T17:00:00Z,Stade Rennais FC 1901,Racing Club de Lens,1.0,1.0
5,2024-09-21T19:00:00Z,Stade de Reims,Paris Saint-Germain FC,1.0,1.0
5,2024-09-22T13:00:00Z,AS Monaco FC,Le Havre AC,3.0,1.0
5,2024-09-22T15:00:00Z,Stade Brestois 29,Toulouse FC,2.0,0.0
5,2024-09-22T15:00:00Z,Angers SCO,FC Nantes,1.0,1.0
5,2024-09-22T15:00:00Z,Montpellier HSC,AJ Auxerre,3.0,2.0
5,2024-09-22T18:45:00Z,Olympique Lyonnais,Olympique de Marseille,2.0,3.0
6,2024-09-27T17:00:00Z,AJ Auxerre,Stade Brestois 29,3.0,0.0
6,2024-09-27T19:00:00Z,Paris Saint-Germain FC,Stade Rennais FC 1901,3.0,1.0
6,2024-09-28T15:00:00Z,Racing Club de Lens,OGC Nice,0.0,0.0
6,2024-09-28T17:00:00Z,Le Havre AC,Lille OSC,0.0,3.0
6,2024-09-28T19:00:00Z,AS Monaco FC,Montpellier HSC,2.0,1.0
6,2024-09-29T13:00:00Z,Toulouse FC,Olympique Lyonnais,1.0,2.0
6,2024-09-29T15:00:00Z,FC Nantes,AS Saint-Étienne,2.0,2.0
6,2024-09-29T15:00:00Z,Angers SCO,Stade de Reims,1.0,3.0
6,2024-09-29T18:45:00Z,RC Strasbourg Alsace,Olympique de Marseille,1.0,0.0
7,2024-10-04T18:45:00Z,Olympique de Marseille,Angers SCO,1.0,1.0
7,2024-10-05T15:00:00Z,AS Saint-Étienne,AJ Auxerre,3.0,1.0
7,2024-10-05T17:00:00Z,Lille OSC,Toulouse FC,2.0,1.0
7,2024-10-05T19:00:00Z,Stade Rennais FC 1901,AS Monaco FC,1.0,2.0
7,2024-10-06T13:00:00Z,Olympique Lyonnais,FC Nantes,2.0,0.0
7,2024-10-06T15:00:00Z,Stade Brestois 29,Le Havre AC,2.0,0.0
7,2024-10-06T15:00:00Z,RC Strasbourg Alsace,Racing Club de Lens,2.0,2.0
7,2024-10-06T15:00:00Z,Stade de Reims,Montpellier HSC,4.0,2.0
7,2024-10-06T18:45:00Z,OGC Nice,Paris Saint-Germain FC,1.0,1.0
8,2024-10-18T18:45:00Z,AS Monaco FC,Lille OSC,0.0,0.0
8,2024-10-19T15:00:00Z,Stade Brestois 29,Stade Rennais FC 1901,1.0,1.0
8,2024-10-19T17:00:00Z,AS Saint-Étienne,Racing Club de Lens,0.0,2.0
8,2024-10-19T19:00:00Z,Paris Saint-Germain FC,RC Strasbourg Alsace,4.0,2.0
8,2024-10-20T13:00:00Z,Le Havre AC,Olympique Lyonnais,0.0,4.0
8,2024-10-20T15:00:00Z,AJ Auxerre,Stade de Reims,2.0,1.0
8,2024-10-20T15:00:00Z,Toulouse FC,Angers SCO,1.0,1.0
8,2024-10-20T15:00:00Z,FC Nantes,OGC Nice,1.0,1.0
8,2024-10-20T18:45:00Z,Montpellier HSC,Olympique de Marseille,0.0,5.0
9,2024-10-25T18:45:00Z,Stade Rennais FC 1901,Le Havre AC,1.0,0.0
9,2024-10-26T15:00:00Z,Angers SCO,AS Saint-Étienne,4.0,2.0
9,2024-10-26T17:00:00Z,Stade de Reims,Stade Brestois 29,1.0,2.0
9,2024-10-26T19:00:00Z,Racing Club de Lens,Lille OSC,0.0,2.0
9,2024-10-27T14:00:00Z,Olympique Lyonnais,AJ Auxerre,2.0,2.0
9,2024-10-27T16:00:00Z,OGC Nice,AS Monaco FC,2.0,1.0
9,2024-10-27T16:00:00Z,Montpellier HSC,Toulouse FC,0.0,3.0
9,2024-10-27T16:00:00Z,RC Strasbourg Alsace,FC Nantes,3.0,1.0
9,2024-10-27T19:45:00Z,Olympique de Marseille,Paris Saint-Germain FC,0.0,3.0
10,2024-11-01T18:00:00Z,AS Monaco FC,Angers SCO,0.0,1.0
10,2024-11-01T20:00:00Z,Lille OSC,Olympique Lyonnais,1.0,1.0
10,2024-11-02T16:00:00Z,Paris Saint-Germain FC,Racing Club de Lens,1.0,0.0
10,2024-11-02T18:00:00Z,Stade Brestois 29,OGC Nice,0.0,1.0
10,2024-11-02T20:00:00Z,AS Saint-Étienne,RC Strasbourg Alsace,2.0,0.0
10,2024-11-03T14:00:00Z,Toulouse FC,Stade de Reims,1.0,0.0
10,2024-11-03T16:00:00Z,AJ Auxerre,Stade Rennais FC 1901,4.0,0.0
10,2024-11-03T16:00:00Z,Le Havre AC,Montpellier HSC,1.0,0.0
10,2024-11-03T19:45:00Z,FC Nantes,Olympique de Marseille,1.0,2.0
11,2024-11-08T19:45:00Z,Olympique de Marseille,AJ Auxerre,1.0,3.0
11,2024-11-09T16:00:00Z,RC Strasbourg Alsace,AS Monaco FC,1.0,3.0
11,2024-11-09T18:00:00Z,Racing Club de Lens,FC Nantes,3.0,2.0
11,2024-11-09T20:00:00Z,Angers SCO,Paris Saint-Germain FC,2.0,4.0
11,2024-11-10T14:00:00Z,OGC Nice,Lille OSC,2.0,2.0
11,2024-11-10T16:00:00Z,Montpellier HSC,Stade Brestois 29,3.0,1.0
11,2024-11-10T16:00:00Z,Le Havre AC,Stade de Reims,0.0,3.0
11,2024-11-10T16:00:00Z,Stade Rennais FC 1901,Toulouse FC,0.0,2.0
11,2024-11-10T19:45:00Z,Olympique Lyonnais,AS Saint-Étienne,1.0,0.0
12,2024-11-22T18:00:00Z,AS Monaco FC,Stade Brestois 29,3.0,2.0
12,2024-11-22T20:00:00Z,Paris Saint-Germain FC,Toulouse FC,3.0,0.0
12,2024-11-23T16:00:00Z,Racing Club de Lens,Olympique de Marseille,1.0,3.0
12,2024-11-23T18:00:00Z,AS Saint-Étienne,Montpellier HSC,1.0,0.0
12,2024-11-23T20:00:00Z,Stade de Reims,Olympique Lyonnais,1.0,1.0
12,2024-11-24T14:00:00Z,Lille OSC,Stade Rennais FC 1901,1.0,0.0
12,2024-11-24T16:00:00Z,FC Nantes,Le Havre AC,0.0,2.0
12,2024-11-24T16:00:00Z,AJ Auxerre,Angers SCO,1.0,0.0
12,2024-11-24T19:45:00Z,OGC Nice,RC Strasbourg Alsace,2.0,1.0
13,2024-11-29T19:45:00Z,Stade de Reims,Racing Club de Lens,0.0,2.0
13,2024-11-30T16:00:00Z,Stade Rennais FC 1901,AS Saint-Étienne,5.0,0.0
13,2024-11-30T18:00:00Z,Stade Brestois 29,RC Strasbourg Alsace,3.0,1.0
13,2024-11-30T20:00:00Z,Paris Saint-Germain FC,FC Nantes,1.0,1.0
13,2024-12-01T14:00:00Z,Montpellier HSC,Lille OSC,2.0,2.0
13,2024-12-01T16:00:00Z,Le Havre AC,Angers SCO,0.0,1.0
