position,team,played,won,lost,points,goals_for,goals_against,goal_difference,avg_goals_scored,avg_goals_conceded
1,Liverpool FC,8,7,1,21,17,5,12,2.125,0.625
2,FC Barcelona,8,6,1,19,28,13,15,3.5,1.625
3,Arsenal FC,8,6,1,19,16,3,13,2.0,0.375
4,FC Internazionale Milano,8,6,1,19,11,1,10,1.375,0.125
5,Club Atlético de Madrid,8,6,2,18,20,12,8,2.5,1.5
6,Bayer 04 Leverkusen,8,5,2,16,15,7,8,1.875,0.875
7,Lille OSC,8,5,2,16,17,10,7,2.125,1.25
8,Aston Villa FC,8,5,2,16,13,6,7,1.625,0.75
9,Atalanta BC,8,4,1,15,20,6,14,2.5,0.75
10,Borussia Dortmund,8,5,3,15,22,12,10,2.75,1.5
11,Real Madrid CF,8,5,3,15,20,12,8,2.5,1.5
12,FC Bayern München,8,5,3,15,20,12,8,2.5,1.5
13,AC Milan,8,5,3,15,14,11,3,1.75,1.375
14,PSV,8,4,2,14,16,12,4,2.0,1.5
15,Paris Saint-Germain FC,8,4,3,13,14,9,5,1.75,1.125
16,Sport Lisboa e Benfica,8,4,3,13,16,12,4,2.0,1.5
17,AS Monaco FC,8,4,3,13,13,13,0,1.625,1.625
18,Stade Brestois 29,8,4,3,13,10,11,-1,1.25,1.375
19,Feyenoord Rotterdam,8,4,3,13,18,21,-3,2.25,2.625
20,Juventus FC,8,3,2,12,9,7,2,1.125,0.875
21,Celtic FC,8,3,2,12,13,14,-1,1.625,1.75
22,Manchester City FC,8,3,3,11,18,14,4,2.25,1.75
23,Sporting Clube de Portugal,8,3,3,11,13,12,1,1.625,1.5
24,Club Brugge KV,8,3,3,11,7,11,-4,0.875,1.375
25,GNK Dinamo Zagreb,8,3,3,11,12,19,-7,1.5,2.375
26,VfB Stuttgart,8,3,4,10,13,17,-4,1.625,2.125
27,FK Shakhtar Donetsk,8,2,5,7,8,16,-8,1.0,2.0
28,Bologna FC 1909,8,1,4,6,4,9,-5,0.5,1.125
29,FK Crvena Zvezda,8,2,6,6,13,22,-9,1.625,2.75
30,SK Sturm Graz,8,2,6,6,5,14,-9,0.625,1.75
31,AC Sparta Praha,8,1,6,4,7,21,-14,0.875,2.625
32,RB Leipzig,8,1,7,3,8,15,-7,1.0,1.875
33,Girona FC,8,1,7,3,5,13,-8,0.625,1.625
34,FC Red Bull Salzburg,8,1,7,3,5,27,-22,0.625,3.375
35,ŠK Slovan Bratislava,8,0,8,0,7,27,-20,0.875,3.375
36,BSC Young Boys,8,0,8,0,3,24,-21,0.375,3.0
