position,team,played,won,lost,points,goals_for,goals_against,goal_difference,avg_goals_scored,avg_goals_conceded
1,FC Bayern München,20,16,1,51,62,19,43,3.1,0.95
2,Bayer 04 Leverkusen,20,13,1,45,49,27,22,2.45,1.35
3,Eintracht Frankfurt,20,11,4,38,45,27,18,2.25,1.35
4,RB Leipzig,20,9,5,33,34,29,5,1.7,1.45
5,VfB Stuttgart,20,9,6,32,37,30,7,1.85,1.5
6,1. FSV Mainz 05,20,9,7,31,33,24,9,1.65,1.2
7,Borussia Mönchengladbach,20,9,8,30,32,30,2,1.6,1.5
8,SV Werder Bremen,20,8,6,30,34,36,-2,1.7,1.8
9,SC Freiburg,20,9,8,30,27,36,-9,1.35,1.8
10,VfL Wolfsburg,20,8,7,29,43,35,8,2.15,1.75
11,Borussia Dortmund,20,8,7,29,36,34,2,1.8,1.7
12,FC Augsburg,20,7,8,26,24,35,-11,1.2,1.75
13,FC St. Pauli 1910,20,6,11,21,18,22,-4,0.9,1.1
14,1. FC Union Berlin,20,5,9,21,16,27,-11,0.8,1.35
15,TSG 1899 Hoffenheim,20,4,10,18,26,40,-14,1.3,2.0
16,1. FC Heidenheim 1846,20,4,14,14,25,42,-17,1.25,2.1
17,Holstein Kiel,20,3,14,12,31,52,-21,1.55,2.6
18,VfL Bochum 1848,20,2,14,10,17,44,-27,0.85,2.2
