position,team,played,won,lost,points,goals_for,goals_against,goal_difference,avg_goals_scored,avg_goals_conceded
1,Paris Saint-Germain FC,20,15,0,50,54,19,35,2.7,0.95
2,Olympique de Marseille,20,12,4,40,43,25,18,2.15,1.25
3,AS Monaco FC,20,11,5,37,36,24,12,1.8,1.2
4,Lille OSC,20,9,3,35,33,20,13,1.65,1.0
5,OGC Nice,20,9,4,34,39,26,13,1.95,1.3
6,Racing Club de Lens,20,9,5,33,25,18,7,1.25,0.9
7,Olympique Lyonnais,20,8,6,30,32,26,6,1.6,1.3
8,Stade Brestois 29,20,9,10,28,31,36,-5,1.55,1.8
9,RC Strasbourg Alsace,20,7,7,27,33,32,1,1.65,1.6
10,Toulouse FC,20,7,8,26,21,22,-1,1.05,1.1
11,AJ Auxerre,20,6,9,23,27,33,-6,1.35,1.65
12,Angers SCO,20,6,9,23,22,29,-7,1.1,1.45
13,Stade de Reims,20,5,8,22,26,29,-3,1.3,1.45
14,FC Nantes,20,4,7,21,24,30,-6,1.2,1.5
15,Stade Rennais FC 1901,20,6,12,20,27,30,-3,1.35,1.5
16,AS Saint-Étienne,20,5,12,18,19,43,-24,0.95,2.15
17,Montpellier HSC,20,4,13,15,20,46,-26,1.0,2.3
18,Le Havre AC,20,4,14,14,15,39,-24,0.75,1.95
