position,team,played,won,lost,points,goals_for,goals_against,goal_difference,avg_goals_scored,avg_goals_conceded
1,Liverpool FC,23,17,1,56,56,21,35,2.4347826086956523,0.9130434782608695
2,Arsenal FC,24,14,2,50,49,22,27,2.0416666666666665,0.9166666666666666
3,Nottingham Forest FC,24,14,5,47,40,27,13,1.6666666666666667,1.125
4,Manchester City FC,24,12,7,41,48,35,13,2.0,1.4583333333333333
5,Newcastle United FC,24,12,7,41,42,29,13,1.75,1.2083333333333333
6,Chelsea FC,23,11,5,40,45,30,15,1.9565217391304348,1.3043478260869565
7,AFC Bournemouth,24,11,6,40,41,28,13,1.7083333333333333,1.1666666666666667
8,Aston Villa FC,24,10,7,37,34,37,-3,1.4166666666666667,1.5416666666666667
9,Fulham FC,24,9,6,36,36,32,4,1.5,1.3333333333333333
10,Brighton & Hove Albion FC,24,8,6,34,35,38,-3,1.4583333333333333,1.5833333333333333
11,Brentford FC,24,9,11,31,42,42,0,1.75,1.75
12,Crystal Palace FC,24,7,8,30,28,30,-2,1.1666666666666667,1.25
13,Manchester United FC,24,8,11,29,28,34,-6,1.1666666666666667,1.4166666666666667
14,Tottenham Hotspur FC,24,8,13,27,48,37,11,2.0,1.5416666666666667
15,West Ham United FC,23,7,10,27,28,44,-16,1.2173913043478262,1.9130434782608696
16,Everton FC,23,6,9,26,23,28,-5,1.0,1.2173913043478262
17,Wolverhampton Wanderers FC,24,5,15,19,34,52,-18,1.4166666666666667,2.1666666666666665
18,Leicester City FC,24,4,15,17,25,53,-28,1.0416666666666667,2.2083333333333335
19,Ipswich Town FC,24,3,14,16,22,49,-27,0.9166666666666666,2.0416666666666665
20,Southampton FC,24,2,19,9,18,54,-36,0.75,2.25
