Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA
1,FC Bayern München,21,17,1,54,65,19,46,158.19,11,10,0,37,9,10,7,1,28,10
2,Bayer 04 Leverkusen,21,13,1,46,49,27,22,96.86,11,8,1,29,15,10,5,0,20,12
3,Eintracht Frankfurt,21,11,4,39,46,28,18,80.76,10,6,1,26,13,11,5,3,20,15
4,VfB Stuttgart,21,10,6,35,39,31,8,56.48,11,6,3,25,15,10,4,3,14,16
5,RB Leipzig,21,9,5,34,34,29,5,47.62,9,5,1,17,11,11,4,4,17,18
6,SC Freiburg,21,10,8,33,28,36,-8,23.52,10,7,2,19,13,11,3,6,9,23
7,1. FSV Mainz 05,21,9,7,32,33,24,9,54.67,11,5,3,14,10,10,4,4,19,14
8,Borussia Mönchengladbach,21,9,8,31,33,31,2,40.19,11,6,3,22,13,10,3,5,11,18
9,VfL Wolfsburg,21,8,7,30,43,35,8,49.33,11,3,4,21,21,10,5,3,22,14
10,SV Werder Bremen,21,8,7,30,34,39,-5,23.33,10,3,3,14,17,11,5,4,20,22
11,Borussia Dortmund,21,8,8,29,37,36,1,34.86,11,6,2,25,15,10,2,6,12,21
12,FC Augsburg,21,7,8,27,24,35,-11,7.52,10,5,3,14,12,11,2,5,10,23
13,1. FC Union Berlin,21,6,9,24,20,27,-7,11.71,10,4,2,10,9,11,2,7,10,18
14,FC St. Pauli 1910,21,6,11,22,18,22,-4,16.76,10,2,5,7,11,10,4,6,11,11
15,TSG 1899 Hoffenheim,21,4,11,18,26,44,-18,-17.9,11,3,6,18,26,10,1,5,8,18
16,1. FC Heidenheim 1846,21,4,15,14,25,43,-18,-19.81,10,2,7,9,18,11,2,8,16,25
17,Holstein Kiel,21,3,14,13,33,54,-21,-28.67,10,3,7,14,25,10,0,7,17,27
18,VfL Bochum 1848,21,2,14,11,19,46,-27,-44.0,10,2,5,10,18,10,0,9,7,26
