Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score
1,FC Bayern München,20,16,1,51,62,19,43,151.5
2,Bayer 04 Leverkusen,20,13,1,45,49,27,22,99.0
3,Eintracht Frankfurt,20,11,4,38,45,27,18,82.5
6,1. FSV Mainz 05,20,9,7,31,33,24,9,56.0
5,VfB Stuttgart,20,9,6,32,37,30,7,52.5
10,VfL Wolfsburg,20,8,7,29,43,35,8,50.5
4,RB Leipzig,20,9,5,33,34,29,5,49.0
7,Borussia Mönchengladbach,20,9,8,30,32,30,2,41.5
11,Borussia Dortmund,20,8,7,29,36,34,2,38.5
8,SV Werder Bremen,20,8,6,30,34,36,-2,31.0
9,SC Freiburg,20,9,8,30,27,36,-9,19.5
13,FC St. Pauli 1910,20,6,11,21,18,22,-4,17.5
12,FC Augsburg,20,7,8,26,24,35,-11,8.5
14,1. FC Union Berlin,20,5,9,21,16,27,-11,1.0
15,TSG 1899 Hoffenheim,20,4,10,18,26,40,-14,-9.0
16,1. FC Heidenheim 1846,20,4,14,14,25,42,-17,-17.0
17,Holstein Kiel,20,3,14,12,31,52,-21,-28.5
18,VfL Bochum 1848,20,2,14,10,17,44,-27,-44.0
