Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA
1,PSV,22,16,3,51,69,24,45,149.55,11,9,0,38,8,11,7,3,31,16
2,AFC Ajax,21,16,2,51,45,18,27,116.38,10,9,0,24,7,11,7,2,21,11
3,FC Utrecht,22,12,4,42,40,34,6,58.36,11,5,4,17,21,11,7,0,23,13
4,AZ,22,12,6,40,37,21,16,77.45,10,5,4,20,12,11,6,2,16,9
5,Feyenoord Rotterdam,21,11,4,39,46,26,20,84.76,10,6,2,21,11,11,5,2,25,15
6,FC Twente '65,21,11,5,38,43,28,15,74.29,9,6,0,23,8,11,4,5,18,19
7,Go Ahead Eagles,21,9,7,32,39,34,5,46.67,11,6,2,24,15,10,3,5,15,19
8,Fortuna Sittard,22,7,10,26,29,40,-11,5.73,11,5,6,14,19,11,2,4,15,21
9,NAC Breda,22,8,12,26,26,41,-15,0.0,11,6,4,16,15,11,2,8,10,26
10,SC Heerenveen,22,7,11,25,24,40,-16,-4.73,10,5,1,15,8,11,2,9,8,30
11,NEC,21,7,11,24,32,30,2,32.1,11,4,4,23,14,10,3,7,9,16
12,Willem II Tilburg,22,6,10,24,25,31,-6,12.55,11,3,5,14,13,11,3,5,11,18
13,PEC Zwolle,22,6,10,24,26,33,-7,10.55,11,5,5,17,16,10,1,4,9,16
14,Heracles Almelo,22,5,8,24,28,39,-11,0.27,12,3,2,20,18,10,2,6,8,21
15,FC Groningen,22,6,10,24,19,31,-12,0.55,11,5,2,12,6,11,1,8,7,25
16,Sparta Rotterdam,22,4,10,20,19,32,-13,-7.82,11,1,5,9,17,11,3,5,10,15
17,RKC Waalwijk,22,4,13,17,31,45,-14,-11.18,11,3,6,16,18,11,1,7,15,27
18,Almere City FC,21,3,14,13,12,43,-31,-48.67,11,2,8,9,28,10,1,6,3,15
