Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score
1,PSV,21,16,3,50,68,23,45,151.9
2,AFC Ajax,20,15,2,48,43,18,25,111.5
5,Feyenoord Rotterdam,20,10,4,36,43,26,17,77.0
4,AZ,21,11,6,37,36,21,15,73.81
6,FC Twente '65,20,10,5,35,41,27,14,70.5
3,FC Utrecht,21,12,3,42,40,33,7,62.57
7,Go Ahead Eagles,20,9,6,32,37,30,7,52.5
11,NEC,20,7,10,24,31,28,3,35.5
12,PEC Zwolle,21,6,9,24,26,32,-6,13.71
13,Willem II Tilburg,21,6,10,23,24,30,-6,13.24
9,NAC Breda,21,8,11,26,26,36,-10,11.43
8,Fortuna Sittard,21,7,9,26,29,38,-9,11.05
16,Sparta Rotterdam,21,4,9,20,19,29,-10,-0.95
10,SC Heerenveen,21,7,10,25,23,38,-15,-1.43
15,FC Groningen,21,5,10,21,17,30,-13,-4.1
14,Heracles Almelo,21,4,8,21,24,37,-13,-6.48
17,RKC Waalwijk,21,3,13,14,26,45,-19,-24.19
18,Almere City FC,20,2,14,10,11,43,-32,-54.0
