Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA
1,FC Barcelona,25,17,5,54,67,25,42,139.6,11,8,3,29,9,14,9,2,38,16
2,Club Atlético de Madrid,25,15,2,53,42,16,26,103.2,13,9,0,24,8,12,6,2,18,8
3,Real Madrid CF,24,15,3,51,52,23,29,110.5,11,9,1,29,11,13,6,2,23,12
4,Athletic Club,24,12,3,45,37,21,16,75.75,12,7,1,19,7,12,5,2,18,14
5,Villarreal CF,25,12,5,44,48,35,13,67.6,12,5,2,28,19,13,7,3,20,16
6,Rayo Vallecano de Madrid,25,9,8,35,27,26,1,34.0,12,5,4,17,16,13,4,4,10,10
7,RCD Mallorca,24,10,10,34,23,30,-7,21.0,13,5,4,13,14,11,5,6,10,16
8,Real Betis Balompié,24,8,8,32,30,31,-1,28.0,12,5,2,19,14,12,3,6,11,17
9,RC Celta de Vigo,25,9,11,32,36,38,-2,26.8,13,8,3,22,13,12,1,8,14,25
10,CA Osasuna,25,7,7,32,29,34,-5,16.8,13,6,2,22,17,12,1,5,7,17
11,Girona FC,24,9,11,31,32,35,-3,25.67,12,6,5,22,18,12,3,6,10,17
12,Real Sociedad de Fútbol,24,9,11,31,20,23,-3,25.67,12,5,5,12,13,12,4,6,8,10
13,Sevilla FC,24,8,9,31,29,34,-5,19.58,12,5,4,11,14,12,3,5,18,20
14,Getafe CF,24,7,8,30,20,18,2,31.08,12,3,2,9,6,12,4,6,11,12
15,RCD Espanyol de Barcelona,25,7,12,27,24,36,-12,0.8,13,6,3,17,14,12,1,9,7,22
16,CD Leganés,24,5,10,24,22,35,-13,-5.58,12,4,6,12,19,12,1,4,10,16
17,UD Las Palmas,25,6,14,23,29,43,-14,-6.8,13,3,6,15,19,12,3,8,14,24
18,Valencia CF,25,5,12,23,25,41,-16,-12.8,13,5,5,18,17,12,0,7,7,24
19,Deportivo Alavés,25,5,13,22,28,39,-11,-3.2,12,3,5,10,13,13,2,8,18,26
20,Real Valladolid CF,24,4,17,15,15,52,-37,-59.42,12,3,6,7,19,12,1,11,8,33
