Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score
3,FC Barcelona,22,14,5,45,60,24,36,124.27
1,Real Madrid CF,22,15,3,49,50,21,29,114.36
2,Club Atlético de Madrid,22,14,2,48,37,14,23,99.64
4,Athletic Club,22,11,3,41,33,20,13,69.64
5,Villarreal CF,22,10,5,37,44,33,11,61.55
6,Rayo Vallecano de Madrid,22,8,6,32,26,24,2,36.73
7,Girona FC,22,9,9,31,31,30,1,36.55
11,Real Sociedad de Fútbol,22,8,10,28,18,19,-1,28.91
10,Real Betis Balompié,22,7,7,29,25,28,-3,23.09
14,Getafe CF,22,5,8,24,17,17,0,22.27
8,CA Osasuna,22,7,6,30,27,31,-4,21.55
13,RC Celta de Vigo,22,7,11,25,31,35,-4,19.27
12,Sevilla FC,22,7,8,28,24,30,-6,16.64
9,RCD Mallorca,22,9,10,30,19,28,-9,16.09
15,UD Las Palmas,22,6,11,23,27,36,-9,6.09
18,Deportivo Alavés,22,5,11,21,25,34,-9,2.91
17,RCD Espanyol de Barcelona,22,6,11,23,21,33,-12,0.09
16,CD Leganés,22,5,9,23,19,30,-11,-0.18
19,Valencia CF,22,4,11,19,22,37,-15,-12.27
20,Real Valladolid CF,22,4,15,15,15,47,-32,-48.09
