Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA
1,Paris Saint-Germain FC,21,16,0,53,58,20,38,139.33,11,9,0,31,9,10,7,0,27,11
2,Olympique de Marseille,20,12,4,40,43,25,18,86.0,10,4,2,18,15,10,8,2,25,10
3,OGC Nice,21,10,4,37,41,26,15,71.43,10,7,0,25,9,11,3,4,16,17
4,AS Monaco FC,21,11,6,37,37,28,9,61.81,11,7,2,21,14,10,4,4,16,14
5,Lille OSC,21,9,4,35,34,22,12,62.1,11,6,2,21,14,10,3,2,13,8
6,Olympique Lyonnais,21,9,6,33,36,26,10,57.14,10,6,2,20,11,11,3,4,16,15
7,Racing Club de Lens,21,9,6,33,25,20,5,47.14,10,4,4,10,10,11,5,2,15,10
8,Stade Brestois 29,21,10,10,31,33,36,-3,32.57,10,6,3,21,15,11,4,7,12,21
9,RC Strasbourg Alsace,21,7,7,28,33,32,1,32.0,9,5,1,16,10,11,2,6,17,22
10,Toulouse FC,21,7,8,27,21,22,-1,27.52,11,4,4,13,12,9,3,4,8,10
11,AJ Auxerre,21,6,9,24,27,33,-6,13.71,10,5,1,15,8,10,1,8,12,25
12,Stade Rennais FC 1901,21,7,12,23,29,30,-1,25.62,11,6,4,19,9,10,1,8,10,21
13,Angers SCO,20,6,9,23,22,29,-7,12.5,10,3,5,14,19,10,3,4,8,10
14,Stade de Reims,21,5,9,22,26,33,-7,8.38,11,2,5,13,18,10,3,4,13,15
15,FC Nantes,21,4,8,21,24,32,-8,3.52,10,2,4,11,14,11,2,4,13,18
16,AS Saint-Étienne,21,5,13,18,19,45,-26,-31.52,10,5,4,11,11,11,0,9,8,34
17,Le Havre AC,21,5,14,17,17,40,-23,-26.0,10,2,8,6,22,11,3,6,11,18
18,Montpellier HSC,21,4,13,16,20,46,-26,-34.86,11,3,5,15,25,9,1,8,5,21
