Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score
1,Paris Saint-Germain FC,20,15,0,50,54,19,35,132.5
2,Olympique de Marseille,20,12,4,40,43,25,18,86.0
3,AS Monaco FC,20,11,5,37,36,24,12,70.0
4,Lille OSC,20,9,3,35,33,20,13,66.0
5,OGC Nice,20,9,4,34,39,26,13,65.5
6,Racing Club de Lens,20,9,5,33,25,18,7,53.0
7,Olympique Lyonnais,20,8,6,30,32,26,6,47.0
9,RC Strasbourg Alsace,20,7,7,27,33,32,1,33.0
10,Toulouse FC,20,7,8,26,21,22,-1,28.5
8,Stade Brestois 29,20,9,10,28,31,36,-5,26.5
15,Stade Rennais FC 1901,20,6,12,20,27,30,-3,19.0
13,Stade de Reims,20,5,8,22,26,29,-3,17.5
11,AJ Auxerre,20,6,9,23,27,33,-6,14.5
12,Angers SCO,20,6,9,23,22,29,-7,12.5
14,FC Nantes,20,4,7,21,24,30,-6,8.5
16,AS Saint-Étienne,20,5,12,18,19,43,-24,-26.5
18,Le Havre AC,20,4,14,14,15,39,-24,-31.0
17,Montpellier HSC,20,4,13,15,20,46,-26,-34.5
