Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score
1,Liverpool FC,23,17,1,56,56,21,35,131.3
2,Arsenal FC,24,14,2,50,49,22,27,104.0
4,Chelsea FC,24,12,5,43,47,31,16,74.92
3,Nottingham Forest FC,24,14,5,47,40,27,13,74.75
5,Manchester City FC,24,12,7,41,48,35,13,68.08
6,Newcastle United FC,24,12,7,41,42,29,13,68.08
7,AFC Bournemouth,24,11,6,40,41,28,13,65.58
14,Tottenham Hotspur FC,24,8,13,27,48,37,11,49.92
9,Fulham FC,24,9,6,36,36,32,4,41.75
11,Brentford FC,24,9,11,31,42,42,0,31.67
8,Aston Villa FC,24,10,7,37,34,37,-3,30.25
10,Brighton & Hove Albion FC,24,8,6,34,35,38,-3,24.83
12,Crystal Palace FC,24,7,8,30,28,30,-2,23.08
13,Manchester United FC,24,8,11,29,28,34,-6,16.75
16,Everton FC,23,6,9,26,23,28,-5,14.35
15,West Ham United FC,24,7,11,27,29,46,-17,-8.17
17,Wolverhampton Wanderers FC,24,5,15,19,34,52,-18,-17.67
18,Leicester City FC,24,4,15,17,25,53,-28,-40.58
19,Ipswich Town FC,24,3,14,16,22,49,-27,-41.08
20,Southampton FC,24,2,19,9,18,54,-36,-64.08
