Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score
2,FC Internazionale Milano,22,15,1,51,56,19,37,131.27
1,SSC Napoli,23,17,3,54,38,16,22,104.43
3,Atalanta BC,23,14,4,47,49,26,23,96.87
5,Juventus FC,23,9,1,40,39,20,19,74.96
6,ACF Fiorentina,22,11,5,39,37,23,14,70.73
4,SS Lazio,23,13,7,42,40,31,9,64.52
8,AC Milan,22,9,5,35,33,24,9,54.36
7,Bologna FC 1909,22,9,3,37,35,27,8,53.27
9,AS Roma,23,8,8,31,34,29,5,40.87
11,Torino FC,23,6,8,27,24,27,-3,18.78
10,Udinese Calcio,23,8,10,29,28,36,-8,14.0
12,Genoa CFC,23,6,9,26,21,32,-11,2.35
15,Como 1907,23,5,11,22,27,38,-11,-1.57
16,Empoli FC,23,4,10,21,22,33,-11,-4.17
17,Cagliari Calcio,23,5,12,21,24,38,-14,-8.0
18,Parma Calcio 1913,23,4,11,20,29,42,-13,-8.61
20,AC Monza,23,2,14,13,20,34,-14,-18.0
19,Venezia FC,23,3,13,16,22,38,-16,-18.52
13,Hellas Verona FC,23,7,14,23,26,48,-22,-18.78
14,US Lecce,23,6,12,23,18,41,-23,-22.96
