Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA
1,SSC Napoli,23,17,3,54,38,16,22,104.43,11,9,2,17,7,12,8,1,21,9
2,FC Internazionale Milano,23,15,2,51,56,22,34,122.78,11,7,1,26,13,12,8,1,30,9
3,Atalanta BC,24,15,4,50,54,26,28,108.08,11,7,2,29,16,13,8,2,25,10
4,SS Lazio,24,14,7,45,45,32,13,73.92,12,7,2,25,17,12,7,5,20,15
5,Juventus FC,24,10,1,43,41,21,20,78.75,12,5,0,21,10,12,5,1,20,11
6,ACF Fiorentina,23,12,5,42,40,23,17,78.35,12,7,2,22,13,11,5,3,18,10
7,AC Milan,23,10,5,38,35,24,11,60.26,12,5,1,19,9,11,5,4,16,15
8,Bologna FC 1909,22,9,3,37,35,27,8,53.27,11,5,1,17,9,11,4,2,18,18
9,AS Roma,24,9,8,34,35,29,6,44.92,12,7,4,24,12,12,2,4,11,17
10,Udinese Calcio,23,8,10,29,28,36,-8,14.0,12,5,5,15,17,11,3,5,13,19
11,Torino FC,24,6,8,28,25,28,-3,18.17,12,3,4,10,11,12,3,4,15,17
12,Genoa CFC,24,6,9,27,22,33,-11,1.75,12,2,4,12,16,12,4,5,10,17
13,Cagliari Calcio,24,6,12,24,26,39,-13,-3.5,13,4,6,15,22,11,2,6,11,17
14,US Lecce,23,6,12,23,18,41,-23,-22.96,11,3,4,9,21,12,3,8,9,20
15,Hellas Verona FC,24,7,15,23,26,53,-27,-29.83,12,3,8,11,30,12,4,7,15,23
16,Como 1907,24,5,12,22,28,40,-12,-4.42,12,4,5,19,20,12,1,7,9,20
17,Empoli FC,24,4,11,21,22,35,-13,-8.92,12,1,6,5,14,12,3,5,17,21
18,Parma Calcio 1913,24,4,12,20,30,44,-14,-11.33,12,3,6,18,22,12,1,6,12,22
19,Venezia FC,24,3,14,16,22,39,-17,-21.08,12,3,6,12,15,12,0,8,10,24
20,AC Monza,24,2,15,13,21,39,-18,-26.42,12,1,8,10,17,12,1,7,11,22
