Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA,Form Score (Last 5),Home Strength,Away Strength,Goal Per Point,Attacking Strenght,Defense Strength,Normalized Power Score
1,FC Barcelona,25,17,5,54,67,25,42,139.6,11,8,3,29,9,14,9,2,38,16,2.16,0.7272727272727273,0.6428571428571429,0.8059701492537313,2.68,1.0,2.2871706531068
2,Club Atlético de Madrid,25,15,2,53,42,16,26,103.2,13,9,0,24,8,12,6,2,18,8,2.12,0.6923076923076923,0.5,1.2619047619047619,1.68,0.64,1.5140724590444667
3,Real Madrid CF,24,15,3,51,52,23,29,110.5,11,9,1,29,11,13,6,2,23,12,2.125,0.8181818181818182,0.46153846153846156,0.9807692307692307,2.1666666666666665,0.9583333333333334,1.66911687708444
4,Athletic Club,24,12,3,45,37,21,16,75.75,12,7,1,19,7,12,5,2,18,14,1.875,0.5833333333333334,0.4166666666666667,1.2162162162162162,1.5416666666666667,0.875,0.9310629692914157
5,Villarreal CF,25,12,5,44,48,35,13,67.6,12,5,2,28,19,13,7,3,20,16,1.76,0.4166666666666667,0.5384615384615384,0.9166666666666666,1.92,1.4,0.7579654340824041
6,Rayo Vallecano de Madrid,25,9,8,35,27,26,1,34.0,12,5,4,17,16,13,4,4,10,10,1.4,0.4166666666666667,0.3076923076923077,1.2962962962962963,1.08,1.04,0.0443363318710197
7,RCD Mallorca,24,10,10,34,23,30,-7,21.0,13,5,4,13,14,11,5,6,10,16,1.4166666666666667,0.38461538461538464,0.45454545454545453,1.4782608695652173,0.9583333333333334,1.25,-0.23177016600838507
8,Real Betis Balompié,24,8,8,32,30,31,-1,28.0,12,5,2,19,14,12,3,6,11,17,1.3333333333333333,0.4166666666666667,0.25,1.0666666666666667,1.25,1.2916666666666667,-0.08309743638101327
9,RC Celta de Vigo,25,9,11,32,36,38,-2,26.8,13,8,3,22,13,12,1,8,14,25,1.28,0.6153846153846154,0.08333333333333333,0.8888888888888888,1.44,1.52,-0.10858419003141985
10,CA Osasuna,25,7,7,32,29,34,-5,16.8,13,6,2,22,17,12,1,5,7,17,1.28,0.46153846153846156,0.08333333333333333,1.103448275862069,1.16,1.36,-0.32097380378480816
11,Girona FC,24,9,11,31,32,35,-3,25.67,12,6,5,22,18,12,3,6,10,17,1.2916666666666667,0.5,0.25,0.96875,1.3333333333333333,1.4583333333333333,-0.1325842163855527
12,Real Sociedad de Fútbol,24,9,11,31,20,23,-3,25.67,12,5,5,12,13,12,4,6,8,10,1.2916666666666667,0.4166666666666667,0.3333333333333333,1.55,0.8333333333333334,0.9583333333333334,-0.1325842163855527
13,Sevilla FC,24,8,9,31,29,34,-5,19.58,12,5,4,11,14,12,3,5,18,20,1.2916666666666667,0.4166666666666667,0.25,1.0689655172413792,1.2083333333333333,1.4166666666666667,-0.26192949116136627
14,Getafe CF,24,7,8,30,20,18,2,31.08,12,3,2,9,6,12,4,6,11,12,1.25,0.25,0.3333333333333333,1.5,0.8333333333333334,0.75,-0.01768143534496972
15,RCD Espanyol de Barcelona,25,7,12,27,24,36,-12,0.8,13,6,3,17,14,12,1,9,7,22,1.08,0.46153846153846156,0.08333333333333333,1.125,0.96,1.44,-0.6607971857902294
16,CD Leganés,24,5,10,24,22,35,-13,-5.58,12,4,6,12,19,12,1,4,10,16,1.0,0.3333333333333333,0.08333333333333333,1.0909090909090908,0.9166666666666666,1.4583333333333333,-0.7963017593648912
17,UD Las Palmas,25,6,14,23,29,43,-14,-6.8,13,3,6,15,19,12,3,8,14,24,0.92,0.23076923076923078,0.25,0.7931034482758621,1.16,1.72,-0.8222132922428046
18,Valencia CF,25,5,12,23,25,41,-16,-12.8,13,5,5,18,17,12,0,7,7,24,0.92,0.38461538461538464,0.0,0.92,1.0,1.64,-0.9496470604948375
19,Deportivo Alavés,25,5,13,22,28,39,-11,-3.2,12,3,5,10,13,13,2,8,18,26,0.88,0.25,0.15384615384615385,0.7857142857142857,1.12,1.56,-0.7457530312915848
20,Real Valladolid CF,24,4,17,15,15,52,-37,-59.42,12,3,6,7,19,12,1,11,8,33,0.625,0.25,0.08333333333333333,1.0,0.625,2.1666666666666665,-1.9398074398131337
