Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA,Form Score (Last 5),Home Strength,Away Strength,Goal Per Point,Attacking Strenght,Defense Strength,Normalized Power Score
1,FC Internazionale Milano,26,17,3,57,59,24,35,124.62,13,9,1,29,14,13,8,2,30,10,2.1923076923076925,0.6923076923076923,0.6153846153846154,0.9661016949152542,2.269230769230769,0.9230769230769231,1.8833382795507454
2,SSC Napoli,26,17,3,57,42,20,22,98.62,12,9,2,18,8,13,8,1,23,11,2.1923076923076925,0.75,0.6153846153846154,1.3571428571428572,1.6153846153846154,0.7692307692307693,1.359304169960632
3,Atalanta BC,25,15,4,51,54,26,28,106.4,12,7,2,29,16,13,8,2,25,10,2.04,0.5833333333333334,0.6153846153846154,0.9444444444444444,2.16,1.04,1.516111299676443
4,SS Lazio,26,14,7,47,47,34,13,71.0,13,7,2,27,19,13,7,5,20,15,1.8076923076923077,0.5384615384615384,0.5384615384615384,1.0,1.8076923076923077,1.3076923076923077,0.8026187043114422
5,Juventus FC,25,11,1,46,42,21,21,82.4,13,6,0,22,10,12,5,1,20,11,1.84,0.46153846153846156,0.4166666666666667,1.0952380952380953,1.68,0.84,1.0323875062086458
6,ACF Fiorentina,25,12,7,42,41,27,14,68.8,13,7,3,22,15,12,5,4,19,12,1.68,0.5384615384615384,0.4166666666666667,1.024390243902439,1.64,1.08,0.7582773565768941
7,AC Milan,25,11,6,41,37,26,11,60.4,13,6,1,20,9,12,5,5,17,17,1.64,0.46153846153846156,0.4166666666666667,1.1081081081081081,1.48,1.04,0.5889740288631652
8,Bologna FC 1909,25,10,4,41,38,31,7,50.4,12,6,1,20,11,13,4,3,18,20,1.64,0.5,0.3076923076923077,1.0789473684210527,1.52,1.24,0.3874224482515831
9,AS Roma,25,10,8,37,36,29,7,48.8,12,7,4,24,12,13,3,4,12,17,1.48,0.5833333333333334,0.23076923076923078,1.0277777777777777,1.44,1.16,0.35517419535372996
10,Udinese Calcio,26,10,10,36,33,37,-4,25.08,13,6,5,18,17,13,4,5,15,20,1.3846153846153846,0.46153846153846156,0.3076923076923077,1.0909090909090908,1.2692307692307692,1.4230769230769231,-0.12290615385694273
11,Torino FC,26,7,9,31,29,32,-3,19.38,13,4,4,12,12,13,3,5,17,20,1.1923076923076923,0.3076923076923077,0.23076923076923078,1.0689655172413792,1.1153846153846154,1.2307692307692308,-0.2377905548055445
12,Genoa CFC,26,7,10,30,24,34,-10,5.0,13,3,4,14,16,13,4,6,10,18,1.1538461538461537,0.23076923076923078,0.3076923076923077,1.25,0.9230769230769231,1.3076923076923077,-0.5276217277249995
13,Como 1907,26,6,12,26,31,41,-10,1.54,12,4,5,19,20,13,2,7,11,20,1.0,0.3333333333333333,0.15384615384615385,0.8387096774193549,1.1923076923076923,1.5769230769230769,-0.5973585746166069
14,Cagliari Calcio,25,6,12,25,26,39,-13,-4.0,13,4,6,15,22,12,2,6,11,17,1.0,0.3076923076923077,0.16666666666666666,0.9615384615384616,1.04,1.56,-0.7090181502754234
15,US Lecce,26,6,13,25,18,42,-24,-26.85,13,3,5,9,22,13,3,8,9,20,0.9615384615384616,0.23076923076923078,0.23076923076923078,1.3888888888888888,0.6923076923076923,1.6153846153846154,-1.1695635119728884
16,Parma Calcio 1913,26,5,13,23,32,45,-13,-7.54,14,4,7,20,23,12,1,6,12,22,0.8846153846153846,0.2857142857142857,0.08333333333333333,0.71875,1.2307692307692308,1.7307692307692308,-0.7803674098119234
17,Hellas Verona FC,25,7,16,23,26,54,-28,-32.8,12,3,8,11,30,13,4,8,15,24,0.92,0.25,0.3076923076923077,0.8846153846153846,1.04,2.16,-1.2894867024367798
18,Empoli FC,25,4,12,21,22,38,-16,-15.6,12,1,6,5,14,13,3,6,17,24,0.84,0.08333333333333333,0.23076923076923078,0.9545454545454546,0.88,1.52,-0.9428179837848587
19,Venezia FC,26,3,15,17,22,41,-19,-25.69,13,3,6,12,15,13,0,9,10,26,0.6538461538461539,0.23076923076923078,0.0,0.7727272727272727,0.8461538461538461,1.5769230769230769,-1.1461835286219448
20,AC Monza,25,2,15,14,21,39,-18,-26.4,13,1,8,10,17,12,1,7,11,22,0.56,0.07692307692307693,0.08333333333333333,0.6666666666666666,0.84,1.56,-1.1604936908453674
