Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA,Form Score (Last 5),Home Strength,Away Strength,Goal Per Point,Attacking Strenght,Defense Strength,Normalized Power Score
1,FC Bayern München,22,17,1,55,65,19,46,155.64,11,10,0,37,9,11,7,1,28,10,2.5,0.9090909090909091,0.6363636363636364,0.8461538461538461,2.9545454545454546,0.8636363636363636,2.4270975360588563
2,Bayer 04 Leverkusen,23,14,1,50,51,27,24,100.17,12,8,1,29,15,11,6,0,22,12,2.1739130434782608,0.6666666666666666,0.5454545454545454,0.9803921568627451,2.217391304347826,1.173913043478261,1.327978421639845
3,Eintracht Frankfurt,22,12,4,42,49,29,20,86.36,11,7,1,29,14,11,5,3,20,15,1.9090909090909092,0.6363636363636364,0.45454545454545453,0.8571428571428571,2.227272727272727,1.3181818181818181,1.0543379859065374
4,SC Freiburg,23,12,8,39,34,36,-2,39.04,11,8,2,24,13,12,4,6,10,23,1.6956521739130435,0.7272727272727273,0.3333333333333333,1.1470588235294117,1.4782608695652173,1.565217391304348,0.11670833935330775
5,1. FSV Mainz 05,23,11,7,38,37,24,13,66.43,12,6,3,16,10,11,5,4,21,14,1.6521739130434783,0.5,0.45454545454545453,1.027027027027027,1.608695652173913,1.0434782608695652,0.6594318393341396
6,RB Leipzig,22,10,5,37,36,29,7,53.55,10,6,1,19,11,12,4,4,17,18,1.6818181818181819,0.6,0.3333333333333333,1.0277777777777777,1.6363636363636365,1.3181818181818181,0.40421903613030186
7,VfB Stuttgart,22,10,7,35,40,33,7,52.64,12,6,4,26,17,10,4,3,14,16,1.5909090909090908,0.5,0.4,0.875,1.8181818181818181,1.5,0.386187696773509
8,VfL Wolfsburg,23,9,7,34,46,37,9,52.35,12,3,4,22,22,11,6,3,24,15,1.4782608695652173,0.25,0.5454545454545454,0.7391304347826086,2.0,1.608695652173913,0.3804414457696959
9,Borussia Mönchengladbach,23,10,9,34,35,35,0,36.52,12,6,4,22,16,11,4,5,13,19,1.4782608695652173,0.5,0.36363636363636365,0.9714285714285714,1.5217391304347827,1.5217391304347827,0.06677539959603525
10,Borussia Dortmund,23,9,9,32,43,38,5,43.48,12,7,2,31,15,11,2,7,12,23,1.391304347826087,0.5833333333333334,0.18181818181818182,0.7441860465116279,1.8695652173913044,1.6521739130434783,0.20468542368754988
11,FC Augsburg,23,8,8,31,27,35,-8,14.87,11,5,3,14,12,12,3,5,13,23,1.3478260869565217,0.45454545454545453,0.25,1.1481481481481481,1.173913043478261,1.5217391304347827,-0.3622119598265646
12,SV Werder Bremen,23,8,9,30,35,47,-12,6.43,11,3,4,15,20,12,5,5,20,27,1.3043478260869565,0.2727272727272727,0.4166666666666667,0.8571428571428571,1.5217391304347827,2.0434782608695654,-0.52944767869616
13,1. FC Union Berlin,23,6,11,24,21,35,-14,-4.52,11,4,3,11,11,12,2,8,10,24,1.0434782608695652,0.36363636363636365,0.16666666666666666,1.1428571428571428,0.9130434782608695,1.5217391304347827,-0.7464181907366898
14,FC St. Pauli 1910,23,6,14,21,18,27,-9,4.17,11,2,6,7,12,12,4,8,11,15,0.9130434782608695,0.18181818181818182,0.3333333333333333,1.1666666666666667,0.782608695652174,1.173913043478261,-0.5742288072086347
15,TSG 1899 Hoffenheim,22,5,11,21,29,45,-16,-11.09,11,3,6,18,26,11,2,5,11,19,0.9545454545454546,0.2727272727272727,0.18181818181818182,0.7241379310344828,1.3181818181818181,2.0454545454545454,-0.8766004979610075
16,VfL Bochum 1848,23,3,14,15,22,47,-25,-36.96,11,3,5,12,18,12,0,9,10,29,0.6521739130434783,0.2727272727272727,0.0,0.6818181818181818,0.9565217391304348,2.0434782608695654,-1.389205716818405
17,1. FC Heidenheim 1846,22,4,16,14,25,45,-20,-24.55,11,2,8,9,20,11,2,8,16,25,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.56,1.1363636363636365,2.0454545454545454,-1.1433058031724714
18,Holstein Kiel,23,3,16,13,34,59,-25,-37.83,12,3,8,16,29,11,0,8,18,30,0.5652173913043478,0.25,0.0,0.38235294117647056,1.4782608695652173,2.5652173913043477,-1.4064444698298442
