Position,Team,Played,Won,Lost,Points,Goals For,Goals Against,Goal Difference,Power Score,Home Played,Home Wins,Home Losses,Home GF,Home GA,Away Played,Away Wins,Away Losses,Away GF,Away GA,Form Score (Last 5),Home Strength,Away Strength,Goal Per Point,Attacking Strenght,Defense Strength,Normalized Power Score
1,AFC Ajax,22,17,2,54,49,18,31,125.18,11,10,0,28,7,11,7,2,21,11,2.4545454545454546,0.9090909090909091,0.6363636363636364,1.1020408163265305,2.227272727272727,0.8181818181818182,1.7472890164395505
2,PSV,23,16,3,52,71,26,45,147.39,12,9,0,40,10,11,7,3,31,16,2.260869565217391,0.75,0.6363636363636364,0.7323943661971831,3.0869565217391304,1.1304347826086956,2.1672156771300406
3,Feyenoord Rotterdam,23,12,4,43,48,27,21,86.78,11,7,2,23,12,12,5,2,25,15,1.8695652173913044,0.6363636363636364,0.4166666666666667,0.8958333333333334,2.0869565217391304,1.173913043478261,1.0212564288432047
4,FC Utrecht,23,12,4,43,42,36,6,56.78,11,5,4,17,21,12,7,0,25,15,1.8695652173913044,0.45454545454545453,0.5833333333333334,1.0238095238095237,1.826086956521739,1.565217391304348,0.4540434697835597
5,AZ,22,12,6,40,38,21,17,79.45,11,6,4,22,12,11,6,2,16,9,1.8181818181818181,0.5454545454545454,0.5454545454545454,1.0526315789473684,1.7272727272727273,0.9545454545454546,0.8826673958462982
6,FC Twente '65,22,11,5,39,46,30,16,74.73,10,7,0,25,8,12,4,5,21,22,1.7727272727272727,0.7,0.3333333333333333,0.8478260869565217,2.090909090909091,1.3636363636363635,0.7934258902875807
7,Go Ahead Eagles,22,10,7,35,40,34,6,50.64,12,7,2,25,15,10,3,5,15,19,1.5909090909090908,0.5833333333333334,0.3,0.875,1.8181818181818181,1.5454545454545454,0.3379538841626857
8,FC Groningen,23,7,10,27,22,32,-10,6.96,11,5,2,12,6,12,2,8,10,26,1.173913043478261,0.45454545454545453,0.16666666666666666,1.2272727272727273,0.9565217391304348,1.391304347826087,-0.48790818422815757
9,SC Heerenveen,23,7,10,27,27,42,-15,-3.04,11,5,1,18,11,12,2,9,9,31,1.173913043478261,0.45454545454545453,0.16666666666666666,1.0,1.173913043478261,1.826086956521739,-0.6769791705813726
10,NAC Breda,23,8,12,27,26,41,-15,-0.87,12,6,4,16,15,11,2,8,10,26,1.173913043478261,0.5,0.18181818181818182,1.0384615384615385,1.1304347826086956,1.7826086956521738,-0.6359507665427249
11,Fortuna Sittard,22,7,10,26,29,40,-11,5.73,11,5,6,14,19,11,2,4,15,21,1.1818181818181819,0.45454545454545453,0.18181818181818182,0.896551724137931,1.3181818181818181,1.8181818181818181,-0.511163915549603
12,NEC,22,7,11,25,34,32,2,31.27,12,4,4,25,16,10,3,7,9,16,1.1363636363636365,0.3333333333333333,0.3,0.7352941176470589,1.5454545454545454,1.4545454545454546,-0.028276616403491855
13,PEC Zwolle,23,6,10,25,27,35,-8,7.91,12,5,5,18,17,11,1,5,9,18,1.0869565217391304,0.4166666666666667,0.09090909090909091,0.9259259259259259,1.173913043478261,1.5217391304347827,-0.46994644052460216
14,Willem II Tilburg,23,6,11,24,26,34,-8,7.48,12,3,6,15,16,11,3,5,11,18,1.0434782608695652,0.25,0.2727272727272727,0.9230769230769231,1.1304347826086956,1.4782608695652173,-0.47807649293779036
15,Heracles Almelo,23,5,9,24,28,43,-15,-8.7,12,3,2,20,18,11,2,7,8,25,1.0434782608695652,0.25,0.18181818181818182,0.8571428571428571,1.2173913043478262,1.8695652173913044,-0.7839933488572923
16,Sparta Rotterdam,23,4,11,20,19,33,-14,-10.61,11,1,5,9,17,12,3,6,10,16,0.8695652173913043,0.09090909090909091,0.25,1.0526315789473684,0.8260869565217391,1.434782608695652,-0.8201059072507564
17,RKC Waalwijk,23,4,14,17,31,47,-16,-15.91,11,3,6,16,18,12,1,8,15,29,0.7391304347826086,0.2727272727272727,0.08333333333333333,0.5483870967741935,1.3478260869565217,2.0434782608695654,-0.9203135300179602
18,Almere City FC,23,3,15,14,15,47,-32,-51.39,11,2,8,9,28,12,1,7,6,19,0.6086956521739131,0.18181818181818182,0.08333333333333333,0.9333333333333333,0.6521739130434783,2.0434782608695654,-1.5911373895991672
